Trans. Date,Post Date,Description,Amount,Category
07/06/2024,07/06/2024,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-287.43,"Payments and Credits"
07/10/2024,07/10/2024,"RUNWAY STANDARD PLAN 7327341764 DE",15.00,"Merchandise"
07/15/2024,07/15/2024,"GOLFBACK, LLC 7175259734 PA",4.00,"Travel/ Entertainment"
07/18/2024,07/18/2024,"MCDONALD'S F18113 CHESTERFIELD MO",9.70,"Restaurants"
07/18/2024,07/18/2024,"VSI*STCHASPARKCONCESS ST. CHARLES MO",3.50,"Government Services"
07/19/2024,07/19/2024,"QDOBA 2172 CHESTERFIELD MO01943R",12.97,"Restaurants"
07/20/2024,07/20/2024,"DIERBERGS MARKET PLACE CHESTERFIELD MO",11.06,"Supermarkets"
07/20/2024,07/20/2024,"ESPINO'S MEXICAN BAR AND CHESTERFIELD MO",67.78,"Restaurants"
07/20/2024,07/20/2024,"EXXONMOBIL CHESTERFIELD MO",5.37,"Gasoline"
07/20/2024,07/20/2024,"EXXONMOBIL CHESTERFIELD MO",31.40,"Gasoline"
07/20/2024,07/20/2024,"MCDONALD'S F20706 NEW FLORENCE MO",2.48,"Restaurants"
07/20/2024,07/20/2024,"MCDONALD'S F27144 WRIGHT CITY MO",16.51,"Restaurants"
07/20/2024,07/20/2024,"SHELL10014324015 WRIGHT CITY MO",5.79,"Gasoline"
07/20/2024,07/20/2024,"VSI*COMO PARKSRECGOLF COLUMBIA MO",8.00,"Government Services"
07/20/2024,07/20/2024,"VSI*COMO PARKSRECGOLF COLUMBIA MO",30.00,"Government Services"
07/20/2024,07/20/2024,"VSI*COMO PARKSRECGOLF COLUMBIA MO",68.00,"Government Services"
07/21/2024,07/21/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGD84QB9A0",0.99,"Merchandise"
07/21/2024,07/21/2024,"DIERBERGS MARKET PLACE CHESTERFIELD MO",100.38,"Supermarkets"
07/27/2024,07/27/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGDH5TGSA0",18.99,"Merchandise"
