Trans. Date,Post Date,Description,Amount,Category
11/01/2024,11/01/2024,"COURTYARD BY MARRIOTT BR BRUSSELS BEL6.00 @ 00000001.1033333 EUR",6.62,"Travel/ Entertainment"
11/02/2024,11/02/2024,"COURTYARD BY MARRIOTT BR BRUSSELS BEL3.30 @ 00000001.1030303 EUR",3.64,"Travel/ Entertainment"
11/03/2024,11/03/2024,"BRITISH AIRWAYS (USD) NEW YORK IL",41.00,"Travel/ Entertainment"
11/05/2024,11/05/2024,"BURGER KING ZH ZURICH CHE35.80 @ 00000001.1483240 CHF",41.11,"Restaurants"
11/05/2024,11/05/2024,"EXPRESS TA ZAVENTEM BEL8.80 @ 00000001.0897727 EUR",9.59,"Merchandise"
11/06/2024,11/06/2024,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-153.46,"Payments and Credits"
11/08/2024,11/12/2024,"HOTEL ARIES VICENZA ITA6.00 @ 00000001.0816667 EUR",6.49,"Travel/ Entertainment"
11/08/2024,11/12/2024,"REGINA RESTAURANT DI CHR VICENZA ITA18.00 @ 00000001.0811111 EUR",19.46,"Restaurants"
11/12/2024,11/12/2024,"IT FIRENZE CALZAIUOLI FIRENZE ITA11.10 @ 00000001.0765766 EUR",11.95,"Merchandise"
11/14/2024,11/14/2024,"AMERICANAIRLINES PAC USD 866-924-3175 CA",35.00,"Services"
11/14/2024,11/14/2024,"WIFIONBOARD INTELSAT.COM IL407466872WFAA",15.00,"Services"
11/15/2024,11/15/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGS2XLD4A0",19.99,"Merchandise"
11/16/2024,11/16/2024,"NETFLIX.COM NETFLIX.COM CASMULDKVLSI99AHAWRTESV6",6.99,"Services"
11/21/2024,11/21/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGSZ43F2A0",0.99,"Merchandise"
11/23/2024,11/23/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGT6DKX8A0",18.99,"Merchandise"
11/28/2024,11/28/2024,"CNP MIKE SHANNONS STL 240-694-4100 MOAPPLE PAY ENDING IN 45394994",27.00,"Restaurants"
