Trans. Date,Post Date,Description,Amount,Category
04/06/2024,04/06/2024,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-113.53,"Payments and Credits"
04/09/2024,04/09/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNG2F587KA0",11.99,"Merchandise"
04/12/2024,04/12/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNG2NMWXXA0",9.99,"Merchandise"
04/13/2024,04/13/2024,"EDISON EXPRESS CHESTERFIELD MO",9.80,"Gasoline"
04/13/2024,04/13/2024,"WWW.LANDINGSATSPI* TIP 3146166260 MO",3.00,"Travel/ Entertainment"
04/13/2024,04/13/2024,"WWW.LANDINGSATSPIRIT.C 3146166260 MO",7.50,"Travel/ Entertainment"
04/13/2024,04/13/2024,"WWW.LANDINGSATSPIRIT.C 3146166260 MO",150.00,"Travel/ Entertainment"
04/14/2024,04/14/2024,"SCOOTER'S COFFEE #1149 CHESTERFIELD MO",27.28,"Restaurants"
04/15/2024,04/15/2024,"QDOBA 2923 ST. LOUIS MO01580R",37.52,"Restaurants"
04/16/2024,04/16/2024,"DIERBERGS MARKET PLACE CHESTERFIELD MO",97.00,"Supermarkets"
04/21/2024,04/21/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNG3LHLS8A0",0.99,"Merchandise"
04/25/2024,04/25/2024,"IC* INSTACART*2246 8882467822 CAAPPLE PAY ENDING IN 4539",24.09,"Supermarkets"
