Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/30/2026,05/31/2026,MCDONALD'S F18113,Food & Drink,Sale,-18.63,
05/29/2026,05/31/2026,EXXON ON THE RUN #602,Gas,Sale,-2.83,
05/30/2026,05/31/2026,EXXON ON THE RUN #602,Gas,Sale,-12.49,
05/29/2026,05/31/2026,MOTOR VEHICLE DEPT OF STA,Bills & Utilities,Sale,-25.75,
05/27/2026,05/27/2026,AUTOMATIC PAYMENT - THANK,,Payment,6478.26,
05/25/2026,05/27/2026,SOUTHWES    5262163583153,Travel,Sale,-591.80,
05/25/2026,05/27/2026,LS Links at Dardenne,Food & Drink,Sale,-5.63,
05/25/2026,05/26/2026,MCDONALD'S F18113,Food & Drink,Sale,-18.63,
05/25/2026,05/26/2026,LS LINKS AT DARDENNE,Shopping,Sale,-164.08,
05/23/2026,05/25/2026,DAL TEXSPRESS ST2318,Shopping,Sale,-6.99,
05/23/2026,05/25/2026,EZ PARK,Travel,Sale,-34.00,
05/23/2026,05/25/2026,STARBUCKS STORE 6249,Food & Drink,Sale,-5.03,
05/23/2026,05/25/2026,HOMEWOOD SUITES,Travel,Sale,-40.05,
05/24/2026,05/24/2026,Spectrum Mobile,Bills & Utilities,Sale,-52.00,
05/22/2026,05/24/2026,OIL BOWL,Entertainment,Sale,-38.16,
05/22/2026,05/24/2026,SQ *WILD HONEY CREAMERY ,Food & Drink,Sale,-44.08,
05/22/2026,05/24/2026,OIL BOWL,Entertainment,Sale,-4.59,
05/22/2026,05/24/2026,BUC-EE'S #0036,Groceries,Sale,-12.97,
05/21/2026,05/24/2026,TST*UNO MAS,Food & Drink,Sale,-50.72,
05/22/2026,05/24/2026,JUDDS DOWNTOWN,Food & Drink,Sale,-54.34,
05/22/2026,05/24/2026,PILOT 486,Gas,Sale,-3.79,
05/23/2026,05/24/2026,DIERBERGS MARKET PL,Groceries,Sale,-65.07,
05/21/2026,05/24/2026,CHEDDAR'S 0202025,Food & Drink,Sale,-37.39,
05/21/2026,05/24/2026,DD POST SECURITY ST231,Personal,Sale,-11.89,
05/23/2026,05/24/2026,KEKES #0078,Food & Drink,Sale,-33.11,
05/23/2026,05/24/2026,AMAZON MKTPL*IA62822Y3,Shopping,Sale,-41.65,
