Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/29/2025,05/30/2025,DIERBERGS MARKET PL,Groceries,Sale,-44.32,
05/28/2025,05/29/2025,EXXON ON THE RUN #602,Gas,Sale,-24.68,
05/26/2025,05/28/2025,UPGRADED BOARDING CREDIT,Fees & Adjustments,Adjustment,110.00,
05/26/2025,05/28/2025,SWA*UPGBOARD5264277909905,Travel,Sale,-110.00,
05/26/2025,05/28/2025,EZ PARK,Travel,Sale,-45.00,
05/26/2025,05/28/2025,GOOD DAY CAFE,Food & Drink,Sale,-58.07,
05/26/2025,05/27/2025,DIERBERGS MARKET PL,Groceries,Sale,-41.43,
05/26/2025,05/27/2025,25% BACK INFLIGHT PURCH.,Fees & Adjustments,Adjustment,2.00,
05/26/2025,05/27/2025,SWA INFLIGHT WIFI,Bills & Utilities,Sale,-8.00,
05/26/2025,05/27/2025,TST* ALAMO DRAFTHOUSE - T,Food & Drink,Sale,-33.66,
05/25/2025,05/27/2025,AKITA SUSHI,Food & Drink,Sale,-80.84,
05/26/2025,05/27/2025,HOLIDAY STATIONS 3532,Gas,Sale,-10.83,
05/25/2025,05/27/2025,FSP*THREE ONE SIX BAR &amp; G,Food & Drink,Sale,-29.25,
05/25/2025,05/26/2025,FSP*BROOKVIEW GOLF AND LA,Health & Wellness,Sale,-228.47,
05/24/2025,05/26/2025,TST*SMACK SHACK,Food & Drink,Sale,-90.11,
05/23/2025,05/26/2025,ACME COMEDY COMPANY/ST,Food & Drink,Sale,-46.00,
05/24/2025,05/25/2025,EXPRESS#0068,Shopping,Sale,-82.40,
05/24/2025,05/25/2025,CSP*Activate Bloomingt,Shopping,Sale,-32.56,
05/24/2025,05/25/2025,CSP*Activate Bloomingt,Entertainment,Sale,-97.67,
05/23/2025,05/25/2025,AMERICAN AIR0017262297764,Travel,Sale,-252.99,
05/24/2025,05/25/2025,SQ *FRESHENS SMOOTHIES  R,Food & Drink,Sale,-25.53,
05/23/2025,05/25/2025,FSP*BROOKVIEW GOLF AND LA,Health & Wellness,Sale,-52.69,
05/23/2025,05/25/2025,CWT US COM  0017262297764,Travel,Sale,-24.00,
05/24/2025,05/25/2025,LEVI'S STORE 175,Shopping,Sale,-169.15,
05/23/2025,05/25/2025,CWT US COM  0167262297765,Travel,Sale,-24.00,
05/23/2025,05/25/2025,TST*RED COW - 1ST AVE,Food & Drink,Sale,-126.29,
05/23/2025,05/25/2025,UNITED      0167262297765,Travel,Sale,-287.82,
05/23/2025,05/25/2025,FSP*BROOKVIEW GOLF AND LA,Health & Wellness,Sale,-4.39,
05/22/2025,05/23/2025,MCDONALD'S F93,Food & Drink,Sale,-11.15,
05/22/2025,05/23/2025,HUDSONNEWS  ST1210,Shopping,Sale,-18.65,
05/22/2025,05/23/2025,MCDONALD'S F7678,Food & Drink,Sale,-8.36,
05/21/2025,05/22/2025,WALMART.COM,Shopping,Sale,-48.60,
05/21/2025,05/22/2025,DIERBERGS MARKET PL,Groceries,Sale,-54.30,
05/21/2025,05/22/2025,MCDONALD'S F7678,Food & Drink,Sale,-8.36,
05/20/2025,05/22/2025,TRAVEL CREDIT $75/YEAR,Fees & Adjustments,Adjustment,75.00,
05/20/2025,05/22/2025,SOUTHWES    5262347350352,Travel,Sale,-1313.92,
05/19/2025,05/21/2025,QDOBA 2172,Food & Drink,Sale,-11.68,
05/20/2025,05/21/2025,DIERBERGS MARKET PL,Groceries,Sale,-53.27,
05/19/2025,05/20/2025,WALMART.COM,Shopping,Sale,-43.98,
05/15/2025,05/18/2025,EXXON ON THE RUN #602,Gas,Sale,-24.94,
05/15/2025,05/18/2025,EXXON ON THE RUN #602,Gas,Sale,-3.78,
05/15/2025,05/18/2025,QDOBA 2172,Food & Drink,Sale,-11.68,
