Trans. Date,Post Date,Description,Amount,Category
01/05/2024,01/05/2024,"LIME*4 RIDES 8885463345 CAAPPLE PAY ENDING IN 4539",21.11,"Travel/ Entertainment"
01/06/2024,01/06/2024,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-297.00,"Payments and Credits"
01/08/2024,01/08/2024,"SQ *14TH STREET DELI WASHINGTON DC0002305843019099845978",11.64,"Restaurants"
01/09/2024,01/09/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNFTT1SYKA0",11.99,"Merchandise"
01/09/2024,01/09/2024,"IC* INSTACART 8882467822 CAAPPLE PAY ENDING IN 4539",43.30,"Supermarkets"
01/09/2024,01/09/2024,"PAR*FOGO WASHINGTON WASHINGTON DC",31.36,"Restaurants"
01/10/2024,01/12/2024,"PAR*SMOOTHIE KING SK0349 WASHINGTON DC",7.69,"Restaurants"
01/11/2024,01/12/2024,"LIME*2 RIDES 8885463345 CAAPPLE PAY ENDING IN 4539",8.50,"Travel/ Entertainment"
01/13/2024,01/13/2024,"DIERBERGS MARKET PLACE CHESTERFIELD MO",15.49,"Supermarkets"
01/13/2024,01/13/2024,"LIME*3 RIDES 8885463345 CAAPPLE PAY ENDING IN 4539",13.20,"Travel/ Entertainment"
01/14/2024,01/14/2024,"DIERBERGS MARKET PLACE CHESTERFIELD MO",11.21,"Supermarkets"
01/14/2024,01/14/2024,"DIERBERGS MARKET PLACE CHESTERFIELD MO",42.29,"Supermarkets"
01/15/2024,01/15/2024,"BALLPARK VILLAGE SAINT LOUIS MO",3.00,"Services"
01/16/2024,01/16/2024,"EBONYNEWS ST1203 HAZELWOOD MO",18.43,"Merchandise"
01/16/2024,01/16/2024,"GREAT WRAPS SAINT LOUIS MO",14.53,"Restaurants"
01/16/2024,01/16/2024,"HUDSONNEWS ST1205 HAZELWOOD MO",18.34,"Merchandise"
01/16/2024,01/16/2024,"HUDSONNEWS ST1205 HAZELWOOD MO",22.19,"Merchandise"
01/16/2024,01/16/2024,"ONE STOP NEWS WASHINGTON DC",3.00,"Supermarkets"
01/16/2024,01/16/2024,"STARBUCKS C-17 STL ST. LOUIS MO143664",3.50,"Restaurants"
01/16/2024,01/16/2024,"STARBUCKS C-17 STL ST. LOUIS MO143578",7.65,"Restaurants"
01/16/2024,01/16/2024,"TST* CONDADO TACOS - BAL ST. LOUIS MO",47.48,"Restaurants"
01/16/2024,01/16/2024,"WIFIONBOARD INTELSAT.COM IL395847074W1AA",15.00,"Services"
01/16/2024,01/16/2024,"WIFIONBOARD INTELSAT.COM IL395848910W1AA",15.00,"Services"
01/22/2024,01/22/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNFVWGL6LA0",0.99,"Merchandise"
01/28/2024,01/28/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNFW207H0A0",18.99,"Merchandise"
