id,Account,Month,Day,Year,Date,Description,Amount,Tag1,Tag2
1,Capitol One,3,16,2024,3/16/2024,CHATEAU ON LAKE RESORT,-366.26,NA,NA
2,Capitol One,3,14,2024,3/14/2024,TST* MARIA BONITA,-35.41,NA,NA
3,Capitol One,3,12,2024,3/12/2024,TOPGOLF CHESTERFLD 42-,-131.92,NA,NA
4,Capitol One,3,12,2024,3/12/2024,APPLE.COM/BILL,-119.99,NA,NA
5,Capitol One,3,12,2024,3/12/2024,RAISING CANES 0247,-39.64,NA,NA
6,Capitol One,3,12,2024,3/12/2024,NCEES.ORG,-225,NA,NA
7,Capitol One,3,11,2024,3/11/2024,CAPITAL ONE MOBILE PYMT,1332.28,NA,NA
8,Capitol One,3,11,2024,3/11/2024,IC* INSTACART*SCHNUCKS,-42.82,NA,NA
9,Capitol One,3,9,2024,3/9/2024,EXXON ON THE RUN #602,-29.47,NA,NA
10,Capitol One,3,9,2024,3/9/2024,DD DOORDASH SNARFSSAN,-14.29,NA,NA
11,Capitol One,3,7,2024,3/7/2024,JIMMY JOHNS  4303 - EC,-20.59,NA,NA
12,Capitol One,3,7,2024,3/7/2024,APPLE.COM/BILL,-9.99,NA,NA
13,Capitol One,3,6,2024,3/6/2024,CLR*CYCLEBAR3143966766,-34.5,NA,NA
14,Capitol One,3,5,2024,3/5/2024,EXXON ON THE RUN #602,-31.63,NA,NA
15,Capitol One,3,5,2024,3/5/2024,APPLE.COM/BILL,-22.99,NA,NA
16,Capitol One,3,2,2024,3/2/2024,QBE INSURANCE,-11.25,NA,NA
17,Capitol One,3,2,2024,3/2/2024,Amazon Prime*RZ0FO05D2,-15.62,NA,NA
18,Chase,3,12,2024,3/12/2024,EXXON ON THE RUN #602,-23.86,NA,NA
19,Chase,3,12,2024,3/12/2024,DIERBERGS MARKET PL,-59.64,NA,NA
20,Chase,3,10,2024,3/10/2024,AMAZON PRIME*R67LT3GS0,-5.99,NA,NA
21,Chase,3,10,2024,3/10/2024,DIERBERGS MARKET PL,-50.28,NA,NA
22,Chase,3,10,2024,3/10/2024,EXXON ON THE RUN #602,-23.86,NA,NA
23,Chase,3,10,2024,3/10/2024,AMZN Mktp US*R63ST9NI0,-9.37,NA,NA
24,Chase,3,8,2024,3/8/2024,DIERBERGS MARKET PL,-43.68,NA,NA
25,Chase,3,7,2024,3/7/2024,WAL-MART #2600,-189.2,NA,NA
26,Chase,3,6,2024,3/6/2024,EXXON ON THE RUN #602,-29.74,NA,NA
27,Chase,3,5,2024,3/5/2024,AMZN Mktp US*RZ5EK8M71,-15.17,NA,NA
28,Chase,3,4,2024,3/4/2024,AMZN Mktp US*RN59L6XU0,-26.37,NA,NA
29,Chase,3,4,2024,3/4/2024,AMZN Mktp US*RZ1NE1AD1,-8.31,NA,NA
30,Chase,3,4,2024,3/4/2024,PANDA EXPRESS #1977,-29,NA,NA
31,Chase,3,3,2024,3/3/2024,MCDONALD'S F7678,-7.49,NA,NA
32,Chase,3,3,2024,3/3/2024,DIERBERGS MARKET PL,-21.53,NA,NA
33,Chase,3,1,2024,3/1/2024,AMZN Mktp US*RZ2LJ5G42,-27.09,NA,NA
34,ENT_Checking,3,1,2024,3/1/2024,VENMO  : PAYMENT   : 3264681992  CO: VENMO NAME: SARAH CAVANAUGH,-20,NA,NA
35,ENT_Checking,3,1,2024,3/1/2024,Deposit Home Banking Transfer From Share 00 REF# 68357919,1000,NA,NA
36,ENT_Checking,3,1,2024,3/1/2024,Deposit Home Banking Transfer From Share 95 REF# 68377371,900,NA,NA
37,ENT_Checking,3,1,2024,3/1/2024,Deposit Home Banking Transfer From Share 00 REF# 68377475,250,NA,NA
38,ENT_Checking,3,1,2024,3/1/2024,Withdrawal FIRST BANK 1730 CLARKSON RD CREVE COEUR MO Card 2797,-904,NA,NA
39,ENT_Checking,3,4,2024,3/4/2024,VENMO  : CASHOUT   : 5264681992  CO: VENMO,898,NA,NA
40,ENT_Checking,3,4,2024,3/4/2024,Midwest Diversif  : WEB PMTS   : 9000327993,-1652.48,NA,NA
